DISTRIBUTED NEURAL TRAINING SIMULATION (DNTS) - PRODUCT BACKLOG,,,,,,,,,
,,,,,,,,,
>>> SPRINT 1: 05-11 Gennaio,,,,,,,,,
Product Backlog Item,Sprint Task,Volunteer,Initial Estimate of Effort,1,2,3,4,5,6
Core Math Engine,testing Mob Code,Fantilli,2,0,0,0,0,0,0
,implementation Loss & Backprop,Fantilli,5,5,3,0,0,0,0
,SGD & integration,Fantilli,3,3,2,0,0,0,0
Data Engineering & Persistence,dataset generator,Colletta,5,,,,,,
,data spilt and batching,Colletta,5,,,,,,
,serialization and export,Fantilli,5,5,5,5,4,2,0
Actor System Skeleton,actor protocol,Giacobbi,5,5,5,0,0,0,0
,Model Actor,Giacobbi,5,0,0,5,1,0,0
,Trainer & CM Skeleton,Giacobbi,5,0,0,0,1,1,5
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
>>> SPRINT 2: 12-18 Gennaio,,,,,,,,,
Product Backlog Item,Sprint Task,Volunteer,Initial Estimate of Effort,1,2,3,4,5,6
Trainer Actor,impl. Trainer actor,Fantilli,5,3,3,0,0,0,0
,refactor training func. to actor pattern,Fantilli,5,3,0,0,0,0,0
,metrics and consensus utilities,Fantilli,3,3,0,0,0,0,0
Monitor Actor,design Monitor actor and app behaviour,Fantilli,2,2,2,2,0,0,0
Model Actor,impl. Model actor,Giacobbi,3,4,0,0,0,0,0
,train integration,Giacobbi,1,0,2,1,0,0,0
,gossip integration,Giacobbi,1,2,0,0,0,0,0
Gossip Actor,impl. Gossip actor,Giacobbi,4,0,3,3,2,2,0
,gossip protocol with akka,Giacobbi,3,0,0,0,2,4,
,app. global commad,Giacobbi,3,0,0,0,0,0,3
Cluster Manager,design Cluster manager actor,Colletta,15,0,3,3,3,3,3
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
>>> SPRINT 3: 19-25 Gennaio,,,,,,,,,
Product Backlog Item,Sprint Task,Volunteer,Initial Estimate of Effort,1,2,3,4,5,6
Application Bootstrap,monitor and trainer ref. with pipeline adjustment,Fantilli,3,0,0,0,0,0,0
,network configuration and building,Fantilli,6,6,3,0,0,0,0
,dataset generation,Fantilli,4,4,2,2,0,0,0
ConfigurationActor,reading file configuration,Giacobbi,1,1,0,0,0,0,0
,configuration transfer from seed to clients,Giacobbi,5,4,4,0,0,0,0
DatasetDistributionActor,dataset distribution,Giacobbi,5,0,1,5,1,0,0
RootActor,update rootActor,Giacobbi,4,0,0,0,4,2,2
ClusterManager, refactor Cluster manager actor,Colletta,9,0,3,1,3,0,2
DiscoveryActor, impl. discovery actor,Colletta,6,0,0,0,0,3,3
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
>>> SPRINT 4: 26 Gennaio - 01 Febbraio,,,,,,,,,
Product Backlog Item,Sprint Task,Volunteer,Initial Estimate of Effort,1,2,3,4,5,6
Application Bootstrap,main function,Fantilli,3,0,0,0,0,0,0
,pipeline adjustment and final fixing,Fantilli,5,5,3,0,0,0,0
View,gui and controls,Fantilli,5,5,5,2,0,0,0
,shuffle in dataset distribution with seed,Giacobbi,1,1,0,0,0,0,0
ConsensusActor,consensus calculation,Giacobbi,5,0,5,2,0,0,0
Actor for every function,refactoring gossip,Giacobbi,5,0,0,5,5,0,0
,update test for refactoring,Giacobbi,4,0,0,0,0,4,1
Akka configuration, akka startup,Colletta,3,0,3,0,0,0,0
ClusterManager, refactor ClusterManager actor,Colletta,3,0,0,3,0,0,0
Debug, final fixing and refactoring,Colletta,9,2,0,0,3,2,2
